t,impulso,maniobra,v,rumbo,fx,fy,normF,dx,dy
1750083201.031,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083201.53,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083202.032,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083202.527,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083203.034,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083203.528,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083204.049,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083204.574,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083205.06,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083205.575,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083206.081,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083206.582,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083207.095,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083207.608,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083208.105,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083208.634,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083209.134,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083209.634,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083210.145,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083210.646,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083211.158,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083211.654,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083212.163,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083212.676,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083213.18,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083213.693,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083214.192,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083214.688,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083215.199,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083215.714,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083216.233,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083216.755,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083217.252,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083217.753,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083218.253,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083218.767,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083219.265,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
